Bee,Horizon,Order,Session,Condition,Choices,VideoReviewedChoices,InformativeColor,UninformativeColor,Date,Observer,Datasheet,FlowerColors,FlowerRewards,TranscribedBy,CheckedBy,Rewards,"InformativeChoice (0=No,1=Yes)",NoSamples
Green10,2,1,Test,LowValueHighInfo,"2,1,1,1,2,2,2,1,2,1,2,2,2,2,2","2,1,1,1,2,2,2,1,2,1,2,2,2,2,2",B,DG,7/7/2019,CP,IMG_7394.HEIC,"DG,B","1.75,0.25",AD,,".25,1.75,1.75,1.75,.25,.25,.25,1.75,.25,1.75,.25,.25,.25,.25,.25","1,0,0,0,1,1,1,0,1,0,1,1,1,1,1","1,0,0,0,0,1,0,0,0,1,0,0,0,0,0"
Green44,6,1,Sample,LowValueHighInfo,"2,2,3,3,4,4,2,5,4,2","2,2,3,3,4,4,2,5,4,2",DG,B,7/5/2019,CP,IMG_0518.HEIC,"B,B,DG,B,B,DG","1.25,2.25,1.75,1.75,1.25,1.25",SM,,"2.25,2.25,.75,.75,1.75,1.75,2.25,1.25,1.75,2.25","0,0,1,1,0,0,0,0,0,0","0,0,0,1,0,0,0,0,0,1"
Green44,2,1,Test,LowValueHighInfo,"1,1,1,1,1,2,1,1,2,2,1,2,2,1,2","1,1,1,1,1,2,1,1,2,2,1,2,2,1,2",DG,B,7/5/2019,CP,IMG_0518.HEIC,"B,DG","2.25,0.25",SM,,"2.25,2.25,2.25,2.25,2.25,.25,2.25,2.25,.25,.25,2.25,.25,.25,2.25,.25","0,0,0,0,0,1,0,0,1,1,0,1,1,0,1","0,1,1,1,0,0,0,1,1,0,0,0,0,0,0"
Green44,6,2,Sample,LowValueHighInfo,"2,3,4,3","2,3,4,3",O,LG,7/5/2019,CP,IMG_0518.HEIC,"LG,LG,O,LG,LG,O","1.25,1.75,1.25,1.25,1.25,0.75",SM,,"1.75,1.25,1.25,1.25","0,1,0,1","0,0,0,1"
Green44,16,2,Test,LowValueHighInfo,"8,7,11,12,13,14,15,11,12,7,11","8,7,11,12,13,14,15,11,12,7,11",O,LG,7/5/2019,CP,IMG_0518.HEIC,"LG,O,LG,O,LG,O,LG,O,LG,O,LG,O,LG,O,LG,O","1.25,0.75,1.75,0.75,1.25,1.25,1.25,2.25,1.25,0.75,1.25,0.25,0.75,2.25,1.25,2.25",SM,,"2.25,1.25,1.25,.25,.75,2.25,1.25,1.25,.25,1.25,1.25","0,1,0,1,1,0,1,0,1,1,0","0,0,1,1,1,1,1,1,1,0,1"
Green5,6,1,Sample,LowValueHighInfo,"2,3,4,4,5,4,3,3,5,6,5,4","2,3,4,4,5,4,3,3,5,6,5,4",DG,B,7/8/2019,CP,IMG_8860.HEIC,"B,B,DG,B,B,DG","1.25,1.25,0.75,1.25,1.75,1.25",AD,,"1.25,.75,1.25,1.25,1.75,1.25,.75,.75,1.75,1.25,1.75,1.25","0,1,0,0,0,0,1,1,0,1,0,0","0,0,0,1,0,0,0,0,1,0,1,1"
Green5,2,1,Test,LowValueHighInfo,"1,2,2,2,2,1,1,2,2,2,2,1","1,2,2,2,2,1,1,2,2,2,2,1",DG,B,7/8/2019,CP,IMG_8860.HEIC,"B,DG","2.25,0.25",AD,,"2.25,.25,.25,.25,.25,2.25,2.25,.25,.25,.25,.25,2.25","0,1,1,1,1,0,0,1,1,1,1,0","0,0,0,0,0,0,0,0,0,0,0,0"
Green5,6,2,Sample,LowValueHighInfo,"2,3,4,4,5,3","2,2,3,4,4,5,3",O,LG,7/9/2019,CP,IMG_8860.HEIC,"LG,LG,O,LG,LG,O","1.75,1.75,0.75,1.75,1.25,0.75",AD,,"1.25,.75,1.75,1.75,1.25,.75","0,1,0,0,0,1","0,0,0,0,0,0"
Green5,16,2,Test,LowValueHighInfo,"12,16,15,11,12,14,13,9,10,6,5,6,10","12,16,15,11,11,12,16,15,14,13,10,6,5,6,10",O,LG,7/9/2019,CP,IMG_8860.HEIC,"LG,O,LG,O,O,LG,O,LG,LG,O,LG,O,O,LG,O,LG","1.75,1.25,2.25,0.75,1.25,1.75,0.75,2.25,1.25,0.75,1.75,1.25,0.75,1.75,1.25,2.25",AD,,"1.25,2.25,1.25,1.75,1.25,1.75,.75,1.25,.75,1.75,1.25,1.75,.75","1,0,1,0,1,0,1,0,1,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0,1,1"
Green50,6,1,Sample,LowValueHighInfo,"3,4,5,6,1,6","3,4,5,6,1,6",LG,O,7/7/2019,CP,IMG_9478.HEIC,"O,O,LG,O,O,LG","2.25,1.75,0.25,2.25,1.25,0.75",AD,,".25,2.25,1.25,.75,2.25,.75","1,0,0,1,0,1","0,1,1,0,0,1"
